"File","LineNumber","Before","After"
"bhava-tech-all.js","97","a: 'There are three primary quotients assessed at Bhava Tech. IQ (Intelligence Quotient) measures logical reasoning, memory, problem-solving, and processing speed. EQ (Emotional Quotient) measures self-awareness, empathy, emotional regulation, and social skills. SQ (Spiritual/Social Quotient) measures inner clarity, sense of purpose, and values alignment. Together they give a complete picture of cognitive and personal development.'","a: 'There are three primary quotients assessed at Medhā Tech. IQ (Intelligence Quotient) measures logical reasoning, memory, problem-solving, and processing speed. EQ (Emotional Quotient) measures self-awareness, empathy, emotional regulation, and social skills. SQ (Spiritual/Social Quotient) measures inner clarity, sense of purpose, and values alignment. Together they give a complete picture of cognitive and personal development.'"
"bhava-tech-all.js","101","a: 'No. IQ measures only logical and analytical thinking. Research over 30 years shows that EQ is an equally powerful predictor of success in life, relationships, and career. SQ adds the dimension of inner wisdom and purposeful living. A high IQ with low EQ can still lead to poor decisions. That is why Bhava Tech assesses all three together.'","a: 'No. IQ measures only logical and analytical thinking. Research over 30 years shows that EQ is an equally powerful predictor of success in life, relationships, and career. SQ adds the dimension of inner wisdom and purposeful living. A high IQ with low EQ can still lead to poor decisions. That is why Medhā Tech assesses all three together.'"
"bhava-tech-all.js","121","a: 'Brain Gym at Bhava Tech is a structured set of cognitive exercises designed to strengthen specific mental functions - just like physical gym exercises strengthen muscles. It includes memory training, attention exercises, pattern recognition tasks, and problem-solving games. Regular sessions build neural pathways, improve working memory, sharpen focus, and increase mental stamina. Results are typically noticeable within 4 to 6 weeks.'","a: 'Brain Gym at Medhā Tech is a structured set of cognitive exercises designed to strengthen specific mental functions - just like physical gym exercises strengthen muscles. It includes memory training, attention exercises, pattern recognition tasks, and problem-solving games. Regular sessions build neural pathways, improve working memory, sharpen focus, and increase mental stamina. Results are typically noticeable within 4 to 6 weeks.'"
"bhava-tech-all.js","124","q: 'What methods and techniques does Bhava Tech use?',","q: 'What methods and techniques does Medhā Tech use?',"
"bhava-tech-all.js","148","q: 'Can schools and institutions partner with Bhava Tech?',","q: 'Can schools and institutions partner with Medhā Tech?',"
"bhava-tech-all.js","186","{ name: 'Narasimha Rao',    role: 'Parent of Divya (Age 12)', stars: 5, quote: 'The team at Bhava Tech is exceptional. The SQ test revealed intelligence areas we never thought to nurture. Highly recommended for every parent.' },","{ name: 'Narasimha Rao',    role: 'Parent of Divya (Age 12)', stars: 5, quote: 'The team at Medhā Tech is exceptional. The SQ test revealed intelligence areas we never thought to nurture. Highly recommended for every parent.' },"
"bhava-tech-all.js","188","{ name: 'Dr. Padma Venkat', role: 'School Principal, Vizag',  stars: 5, quote: 'We partnered with Bhava Tech for 60 students. The reports were professional and the Brain Gym sessions kept children genuinely engaged.' }","{ name: 'Dr. Padma Venkat', role: 'School Principal, Vizag',  stars: 5, quote: 'We partnered with Medhā Tech for 60 students. The reports were professional and the Brain Gym sessions kept children genuinely engaged.' }"
"bhava-tech-all.js","296",".then(function(r) { if (!r.ok) throw new Error(); if (st) { st.textContent = 'Subscribed! You will receive Bhava Tech updates.'; st.className = 'status-msg ok'; } nlForm.reset(); })",".then(function(r) { if (!r.ok) throw new Error(); if (st) { st.textContent = 'Subscribed! You will receive Medhā Tech updates.'; st.className = 'status-msg ok'; } nlForm.reset(); })"
"bhava-tech-all.js","468","name: 'Bhāva Tech',","name: 'Medhā Tech',"
"bhava-tech-all.js","636","// SESSION TRACKER — Bhāva Tech","// SESSION TRACKER — Medhā Tech"
"bhava-tech-all.js","732","<p class=""bv-sub"">You've been exploring Bhāva Tech for 15 minutes — subscribe to keep using Brain Games, Progress Tracking &amp; more.","<p class=""bv-sub"">You've been exploring Medhā Tech for 15 minutes — subscribe to keep using Brain Games, Progress Tracking &amp; more."
"bhava-tech-all.js","799","toast.textContent = ""✅ Unlocked! Welcome to Bhāva Tech!"";","toast.textContent = ""✅ Unlocked! Welcome to Medhā Tech!"";"
"bhava-verified-starter-game-bank.js","2","Bhava Verified Master Game Bank — 80 Items (10 Questions per Game)","Medhā Verified Master Game Bank — 80 Items (10 Questions per Game)"
"bhava-verified-starter-game-bank.js","392","id:'space-01', gameId:'space-academy', gameName:'Bhāva Space Academy',","id:'space-01', gameId:'space-academy', gameName:'Medhā Space Academy',"
"bhava-verified-starter-game-bank.js","394","prompt:'In Bhāva Space Academy, what keeps the International Space Station (ISS) in Low Earth Orbit without falling?',","prompt:'In Medhā Space Academy, what keeps the International Space Station (ISS) in Low Earth Orbit without falling?',"
"bhava-verified-starter-game-bank.js","399","id:'space-02', gameId:'space-academy', gameName:'Bhāva Space Academy',","id:'space-02', gameId:'space-academy', gameName:'Medhā Space Academy',"
"bhava-verified-starter-game-bank.js","406","id:'space-03', gameId:'space-academy', gameName:'Bhāva Space Academy',","id:'space-03', gameId:'space-academy', gameName:'Medhā Space Academy',"
"bhava-verified-starter-game-bank.js","413","id:'space-04', gameId:'space-academy', gameName:'Bhāva Space Academy',","id:'space-04', gameId:'space-academy', gameName:'Medhā Space Academy',"
"bhava-verified-starter-game-bank.js","420","id:'space-05', gameId:'space-academy', gameName:'Bhāva Space Academy',","id:'space-05', gameId:'space-academy', gameName:'Medhā Space Academy',"
"bhava-verified-starter-game-bank.js","427","id:'space-06', gameId:'space-academy', gameName:'Bhāva Space Academy',","id:'space-06', gameId:'space-academy', gameName:'Medhā Space Academy',"
"bhava-verified-starter-game-bank.js","434","id:'space-07', gameId:'space-academy', gameName:'Bhāva Space Academy',","id:'space-07', gameId:'space-academy', gameName:'Medhā Space Academy',"
"bhava-verified-starter-game-bank.js","441","id:'space-08', gameId:'space-academy', gameName:'Bhāva Space Academy',","id:'space-08', gameId:'space-academy', gameName:'Medhā Space Academy',"
"bhava-verified-starter-game-bank.js","448","id:'space-09', gameId:'space-academy', gameName:'Bhāva Space Academy',","id:'space-09', gameId:'space-academy', gameName:'Medhā Space Academy',"
"bhava-verified-starter-game-bank.js","455","id:'space-10', gameId:'space-academy', gameName:'Bhāva Space Academy',","id:'space-10', gameId:'space-academy', gameName:'Medhā Space Academy',"
"bhava_Tech_Likhwell.html","6","<title>Bhāva Tech Likh-well</title>","<title>Medhā Tech Likh-well</title>"
"bhava_Tech_Likhwell.html","153","<h1>Bhāva Tech Likh-well</h1>","<h1>Medhā Tech Likh-well</h1>"
"bhava_Tech_Likhwell.html","353","<h2 style=""margin:0 0 10px;color:#2e7d32;"">Bhāva Session Complete</h2>","<h2 style=""margin:0 0 10px;color:#2e7d32;"">Medhā Session Complete</h2>"
"bhava_Tech_Likhwell.html","631","sessionAttempts: [],    // attempts recorded since the last ""End Bhava Session""","sessionAttempts: [],    // attempts recorded since the last ""End Medhā Session"""
"bhava_Tech_Likhwell.html","2257","<!-- Bhava Tech Session Tracker -->","<!-- Medhā Tech Session Tracker -->"
"bhava_Tech_Likhwell.html","2258","<script>document.title = ""Bhava Likhwell"";</script>","<script>document.title = ""Medhā Likhwell"";</script>"
"brain-garden.html","7","<meta name=""description"" content=""Bhāva Tech Phase 1 · Five playful brain training games for children: memory, focus, patterns, counting, and rhymes."" />","<meta name=""description"" content=""Medhā Tech Phase 1 · Five playful brain training games for children: memory, focus, patterns, counting, and rhymes."" />"
"brain-garden.html","349","/* Bhava nav menu */","/* Medhā nav menu */"
"brain-garden.html","375","/* ===== Bhava Layout Fix v2 ===================================","/* ===== Medhā Layout Fix v2 ==================================="
"brain-garden.html","403","<div class=""brand"" aria-label=""Bhāva Tech brand"">","<div class=""brand"" aria-label=""Medhā Tech brand"">"
